AlignmentType,AllowMismatch,Community,IsolateGenus,RelativeAbundance,CommunityESVID,Family,ConsensusLength,BasePairGap,BasePairMismatch,AlignmentScore
local,1,C1R7,Enterobacter,0.414373436,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C1R7,Serratia,0.373209006,Yersinia,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C1R7,Citrobacter,0.067091199,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C1R7,Pseudomonas,0.092563111,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C2R4,Enterobacter,0.256083693,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C2R4,Raoultella,0.192176484,Raoultella,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C2R4,Citrobacter,0.076643166,Citrobacter,Enterobacteriaceae,234,1,0,522.757385253906
local,1,C2R4,Pseudomonas,0.446213327,Pseudomonas.3,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C2R6,Enterobacter,0.188765067,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C2R6,Raoultella,0.001819422,Sphingobacterium,Sphingobacteriaceae,20,0,1,46.9017486572266
local,1,C2R6,Citrobacter,0.115078463,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C2R8,Raoultella,0.304753241,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,1,C2R8,Citrobacter,0.180350239,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C2R8,Pseudomonas,0.403002047,Pseudomonas.2,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C4R1,Pseudomonas,0.279963612,Pseudomonas.4,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C4R1,Klebsiella,0.56538549,Klebsiella,Enterobacteriaceae,233,0,1,528.461608886719
local,1,C7R1,Enterobacter,0.804412099,Klebsiella,Enterobacteriaceae,233,0,0,461.748260498047
local,1,C7R1,Pseudomonas,0.114851035,Pseudomonas.1,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C8R2,Klebsiella,0.972936093,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C8R4,Pseudomonas,0.217875824,Pseudomonas.10,Pseudomonadaceae,233,0,0,461.748260498047
local,1,C8R4,Klebsiella,0.742779168,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C8R5,Enterobacter,0.272231067,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,1,C8R5,Pseudomonas,0.3625199,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C8R5,Klebsiella,0.331134865,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C10R2,Pseudomonas,0.111667046,Pseudomonas,Pseudomonadaceae,233,0,1,589.426330566406
local,1,C10R2,Enterobacter,0.77029793,Enterobacteriaceae,Enterobacteriaceae,233,0,0,598.043701171875
local,1,C11R1,Enterobacter,0.133045258,Salmonella,Enterobacteriaceae,233,0,1,589.426330566406
local,1,C11R1,Acinetobacter,0.000454856,Acinetobacter.2,Moraxellaceae,233,0,0,461.748260498047
local,1,C11R1,Enterobacter,0.004548556,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C11R1,Raoultella,0.367978167,Raoultella,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C11R1,Delftia,0.031385035,Delftia,Comamonadaceae,233,0,0,461.748260498047
local,1,C11R1,Achromobacter,0.016602229,Bordetella.1,Alcaligenaceae,233,0,1,589.426330566406
local,1,C11R2,Enterobacter,0.034569024,Enterobacteriaceae,Enterobacteriaceae,233,0,1,589.426330566406
local,1,C11R2,Enterobacter,0.246986582,Salmonella,Enterobacteriaceae,233,0,1,528.461608886719
local,1,C11R2,Escherichia/Shigella,0.015919945,Salmonella.1,Enterobacteriaceae,233,0,0,536.757202148438
local,1,C11R2,Pseudomonas,0.052080964,Pseudomonas.3,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C11R2,Acinetobacter,0.348419377,Acinetobacter.2,Moraxellaceae,233,0,1,528.461608886719
local,1,C11R5,Pseudomonas,0.180805094,Pseudomonas.2,Pseudomonadaceae,233,0,0,536.757202148438
local,1,C11R5,Raoultella,0.6415738,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,1,C11R6,Raoultella,0.369570161,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,1,C11R6,Klebsiella,0.288833295,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C1R2,Citrobacter,0.41096202,Citrobacter,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C1R2,Pseudomonas,0.452808733,Pseudomonas.2,Pseudomonadaceae,233,0,0,461.748260498047
local,2,C1R2,Pseudomonas,0.026381624,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C1R4,Pseudomonas,0.125312713,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C1R4,Enterobacter,0.843302252,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C1R4,Citrobacter,0.025471913,Citrobacter,Enterobacteriaceae,233,0,1,528.461608886719
local,2,C1R6,Pseudomonas,0.005230839,Pseudomonas.9,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C1R6,Enterobacter,0.504889698,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C1R6,Pseudomonas,0.403456902,Pseudomonas.2,Pseudomonadaceae,233,0,0,461.748260498047
local,2,C1R6,Serratia,0.008187401,Yersinia,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C1R6,Citrobacter,0.057084376,Citrobacter,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C1R7,Enterobacter,0.414373436,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C1R7,Serratia,0.373209006,Yersinia,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C1R7,Citrobacter,0.067091199,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C1R7,Pseudomonas,0.092563111,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C2R4,Enterobacter,0.256083693,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C2R4,Raoultella,0.192176484,Raoultella,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C2R4,Citrobacter,0.076643166,Citrobacter,Enterobacteriaceae,234,1,0,522.757385253906
local,2,C2R4,Pseudomonas,0.446213327,Pseudomonas.3,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C2R6,Enterobacter,0.188765067,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C2R6,Raoultella,0.270411644,Raoultella,Enterobacteriaceae,233,0,2,632.100646972656
local,2,C2R6,Citrobacter,0.115078463,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C2R8,Raoultella,0.304753241,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C2R8,Citrobacter,0.180350239,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C2R8,Pseudomonas,0.403002047,Pseudomonas.2,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C4R1,Pseudomonas,0.279963612,Pseudomonas.4,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C4R1,Klebsiella,0.56538549,Klebsiella,Enterobacteriaceae,233,0,1,528.461608886719
local,2,C7R1,Enterobacter,0.804412099,Klebsiella,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C7R1,Pseudomonas,0.114851035,Pseudomonas.1,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C8R2,Klebsiella,0.972936093,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C8R4,Pseudomonas,0.217875824,Pseudomonas.10,Pseudomonadaceae,233,0,0,461.748260498047
local,2,C8R4,Klebsiella,0.742779168,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C8R5,Enterobacter,0.272231067,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C8R5,Pseudomonas,0.3625199,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C8R5,Klebsiella,0.331134865,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C10R2,Pseudomonas,0.111667046,Pseudomonas,Pseudomonadaceae,233,0,1,589.426330566406
local,2,C10R2,Enterobacter,0.77029793,Enterobacteriaceae,Enterobacteriaceae,233,0,0,598.043701171875
local,2,C11R1,Enterobacter,0.133045258,Salmonella,Enterobacteriaceae,233,0,1,589.426330566406
local,2,C11R1,Acinetobacter,0.000454856,Acinetobacter.2,Moraxellaceae,233,0,0,461.748260498047
local,2,C11R1,Enterobacter,0.004548556,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C11R1,Raoultella,0.367978167,Raoultella,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C11R1,Delftia,0.031385035,Delftia,Comamonadaceae,233,0,0,461.748260498047
local,2,C11R1,Achromobacter,0.016602229,Bordetella.1,Alcaligenaceae,233,0,1,589.426330566406
local,2,C11R2,Enterobacter,0.034569024,Enterobacteriaceae,Enterobacteriaceae,233,0,1,589.426330566406
local,2,C11R2,Enterobacter,0.246986582,Salmonella,Enterobacteriaceae,233,0,1,528.461608886719
local,2,C11R2,Escherichia/Shigella,0.015919945,Salmonella.1,Enterobacteriaceae,233,0,0,536.757202148438
local,2,C11R2,Pseudomonas,0.052080964,Pseudomonas.3,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C11R2,Acinetobacter,0.348419377,Acinetobacter.2,Moraxellaceae,233,0,1,528.461608886719
local,2,C11R5,Pseudomonas,0.180805094,Pseudomonas.2,Pseudomonadaceae,233,0,0,536.757202148438
local,2,C11R5,Raoultella,0.6415738,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C11R6,Raoultella,0.369570161,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,2,C11R6,Klebsiella,0.288833295,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C1R2,Citrobacter,0.41096202,Citrobacter,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C1R2,Serratia,0.076415738,Yersinia,Enterobacteriaceae,233,0,3,572.191589355469
local,Inf,C1R2,Pseudomonas,0.452808733,Pseudomonas.2,Pseudomonadaceae,233,0,0,461.748260498047
local,Inf,C1R2,Pseudomonas,0.026381624,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C1R4,Pseudomonas,0.125312713,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C1R4,Enterobacter,0.843302252,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C1R4,Citrobacter,0.025471913,Citrobacter,Enterobacteriaceae,233,0,1,528.461608886719
local,Inf,C1R6,Pseudomonas,0.005230839,Pseudomonas.9,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C1R6,Enterobacter,0.504889698,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C1R6,Pseudomonas,0.403456902,Pseudomonas.2,Pseudomonadaceae,233,0,0,461.748260498047
local,Inf,C1R6,Serratia,0.008187401,Yersinia,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C1R6,Citrobacter,0.057084376,Citrobacter,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C1R7,Enterobacter,0.414373436,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C1R7,Serratia,0.373209006,Yersinia,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C1R7,Citrobacter,0.067091199,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C1R7,Pseudomonas,0.092563111,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C2R4,Enterobacter,0.256083693,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C2R4,Raoultella,0.192176484,Raoultella,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C2R4,Citrobacter,0.076643166,Citrobacter,Enterobacteriaceae,234,1,0,522.757385253906
local,Inf,C2R4,Pseudomonas,0.446213327,Pseudomonas.3,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C2R6,Enterobacter,0.188765067,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C2R6,Raoultella,0.270411644,Raoultella,Enterobacteriaceae,233,0,2,632.100646972656
local,Inf,C2R6,Citrobacter,0.115078463,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C2R8,Raoultella,0.304753241,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C2R8,Citrobacter,0.180350239,Citrobacter,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C2R8,Pseudomonas,0.403002047,Pseudomonas.2,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C4R1,Pseudomonas,0.279963612,Pseudomonas.4,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C4R1,Klebsiella,0.56538549,Klebsiella,Enterobacteriaceae,233,0,1,528.461608886719
local,Inf,C7R1,Enterobacter,0.804412099,Klebsiella,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C7R1,Pseudomonas,0.114851035,Pseudomonas.1,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C8R2,Klebsiella,0.972936093,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C8R4,Pseudomonas,0.217875824,Pseudomonas.10,Pseudomonadaceae,233,0,0,461.748260498047
local,Inf,C8R4,Klebsiella,0.742779168,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C8R5,Enterobacter,0.272231067,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C8R5,Pseudomonas,0.3625199,Pseudomonas,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C8R5,Klebsiella,0.331134865,Klebsiella,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C10R2,Pseudomonas,0.111667046,Pseudomonas,Pseudomonadaceae,233,0,1,589.426330566406
local,Inf,C10R2,Enterobacter,0.77029793,Enterobacteriaceae,Enterobacteriaceae,233,0,0,598.043701171875
local,Inf,C11R1,Enterobacter,0.133045258,Salmonella,Enterobacteriaceae,233,0,1,589.426330566406
local,Inf,C11R1,Pseudomonas,0.334773709,Pseudomonas.4,Pseudomonadaceae,233,0,4,658.33740234375
local,Inf,C11R1,Acinetobacter,0.000454856,Acinetobacter.2,Moraxellaceae,233,0,0,461.748260498047
local,Inf,C11R1,Enterobacter,0.004548556,Enterobacteriaceae,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C11R1,Raoultella,0.367978167,Raoultella,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C11R1,Delftia,0.031385035,Delftia,Comamonadaceae,233,0,0,461.748260498047
local,Inf,C11R1,Achromobacter,0.016602229,Bordetella.1,Alcaligenaceae,233,0,1,589.426330566406
local,Inf,C11R2,Enterobacter,0.034569024,Enterobacteriaceae,Enterobacteriaceae,233,0,1,589.426330566406
local,Inf,C11R2,Aeromonas,0.262906527,Aeromonas,Aeromonadaceae,233,0,4,614.340026855469
local,Inf,C11R2,Enterobacter,0.246986582,Salmonella,Enterobacteriaceae,233,0,1,528.461608886719
local,Inf,C11R2,Escherichia/Shigella,0.015919945,Salmonella.1,Enterobacteriaceae,233,0,0,536.757202148438
local,Inf,C11R2,Pseudomonas,0.052080964,Pseudomonas.3,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C11R2,Acinetobacter,0.348419377,Acinetobacter.2,Moraxellaceae,233,0,1,528.461608886719
local,Inf,C11R5,Pseudomonas,0.180805094,Pseudomonas.2,Pseudomonadaceae,233,0,0,536.757202148438
local,Inf,C11R5,Raoultella,0.6415738,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C11R6,Raoultella,0.369570161,Raoultella,Enterobacteriaceae,233,0,0,461.748260498047
local,Inf,C11R6,Klebsiella,0.288833295,Enterobacteriaceae,Enterobacteriaceae,233,0,0,461.748260498047
