metabolite,value_blk,Carbon_Source,Strain,Replicate,Timepoint,value_uM,value_uM_corr
LYSOC20.3,0,D-Glucose,Ecoli,2,28,0,0
LYSOC20.3,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC20.3,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC20.4,0,D-Glucose,Ecoli,1,28,0,0
LYSOC20.4,0,D-Glucose,Ecoli,2,28,0,0
LYSOC20.4,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC20.4,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC24.0,0,D-Glucose,Ecoli,1,28,0,0
LYSOC24.0,0,D-Glucose,Ecoli,2,28,0,0
LYSOC24.0,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC24.0,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC26.0,0,D-Glucose,Ecoli,1,28,0,0
LYSOC26.0,0,D-Glucose,Ecoli,2,28,0,0
LYSOC26.0,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC26.0,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC26.1,0,D-Glucose,Ecoli,1,28,0,0
LYSOC26.1,0,D-Glucose,Ecoli,2,28,0,0
LYSOC26.1,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC26.1,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC28.0,0,D-Glucose,Ecoli,1,28,0,0
LYSOC28.0,0,D-Glucose,Ecoli,2,28,0,0
LYSOC28.0,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC28.0,0,D-Glucose,Enterobacter,2,28,0,0
LYSOC28.1,0,D-Glucose,Ecoli,1,28,0,0
LYSOC28.1,0,D-Glucose,Ecoli,2,28,0,0
LYSOC28.1,0,D-Glucose,Enterobacter,1,28,0,0
LYSOC28.1,0,D-Glucose,Enterobacter,2,28,0,0
Methionine,0.579,D-Glucose,Ecoli,1,28,0,-0.579
Methionine,0.579,D-Glucose,Ecoli,2,28,0.129,-0.45
Methionine,0.579,D-Glucose,Enterobacter,1,28,0.0461,-0.5329
Methionine,0.579,D-Glucose,Enterobacter,2,28,0.0219,-0.5571
Methionine.sulfoxide,0,D-Glucose,Ecoli,1,28,0,0
Methionine.sulfoxide,0,D-Glucose,Ecoli,2,28,0,0
Methionine.sulfoxide,0,D-Glucose,Enterobacter,1,28,0,0
Methionine.sulfoxide,0,D-Glucose,Enterobacter,2,28,0,0
Methylhistidine,0,D-Glucose,Ecoli,1,28,0,0
Methylhistidine,0,D-Glucose,Ecoli,2,28,0,0
Methylhistidine,0,D-Glucose,Enterobacter,1,28,0,0
Methylhistidine,0,D-Glucose,Enterobacter,2,28,0,0
Methylmalonic.acid,0,D-Glucose,Ecoli,1,28,0,0
Methylmalonic.acid,0,D-Glucose,Ecoli,2,28,0,0
Methylmalonic.acid,0,D-Glucose,Enterobacter,1,28,0,0
Methylmalonic.acid,0,D-Glucose,Enterobacter,2,28,0,0
Nitro.Tyrosine,0,D-Glucose,Ecoli,1,28,0,0
Nitro.Tyrosine,0,D-Glucose,Ecoli,2,28,0,0
Nitro.Tyrosine,0,D-Glucose,Enterobacter,1,28,0,0
Nitro.Tyrosine,0,D-Glucose,Enterobacter,2,28,0,0
Ornithine,0,D-Glucose,Ecoli,1,28,0,0
Ornithine,0,D-Glucose,Ecoli,2,28,0,0
Ornithine,0,D-Glucose,Enterobacter,1,28,0,0
Ornithine,0,D-Glucose,Enterobacter,2,28,0,0
p.Hydroxyhippuric.acid,0,D-Glucose,Ecoli,1,28,0,0
p.Hydroxyhippuric.acid,0,D-Glucose,Ecoli,2,28,0,0
p.Hydroxyhippuric.acid,0,D-Glucose,Enterobacter,1,28,0,0
p.Hydroxyhippuric.acid,0,D-Glucose,Enterobacter,2,28,0,0
PC32.2AA,0,D-Glucose,Ecoli,1,28,0,0
PC32.2AA,0,D-Glucose,Ecoli,2,28,0,0
PC32.2AA,0,D-Glucose,Enterobacter,1,28,0,0
PC32.2AA,0,D-Glucose,Enterobacter,2,28,0,0
PC36.0AA,0,D-Glucose,Ecoli,1,28,0,0
PC36.0AA,0,D-Glucose,Ecoli,2,28,0,0
PC36.0AA,0,D-Glucose,Enterobacter,1,28,0,0
PC36.0AA,0,D-Glucose,Enterobacter,2,28,0,0
PC36.0AE,0,D-Glucose,Ecoli,1,28,0,0
PC36.0AE,0,D-Glucose,Ecoli,2,28,0,0
PC36.0AE,0,D-Glucose,Enterobacter,1,28,0,0
PC36.0AE,0,D-Glucose,Enterobacter,2,28,0,0
PC36.6AA,0,D-Glucose,Ecoli,1,28,0,0
PC36.6AA,0,D-Glucose,Ecoli,2,28,0,0
PC36.6AA,0,D-Glucose,Enterobacter,1,28,0,0
PC36.6AA,0,D-Glucose,Enterobacter,2,28,0,0
PC38.0AA,0,D-Glucose,Ecoli,1,28,0,0
PC38.0AA,0,D-Glucose,Ecoli,2,28,0,0
PC38.0AA,0,D-Glucose,Enterobacter,1,28,0,0
PC38.0AA,0,D-Glucose,Enterobacter,2,28,0,0
PC38.6AA,0,D-Glucose,Ecoli,1,28,0,0
PC38.6AA,0,D-Glucose,Ecoli,2,28,0,0
PC38.6AA,0,D-Glucose,Enterobacter,1,28,0,0
PC38.6AA,0,D-Glucose,Enterobacter,2,28,0,0
PC40.1AA,0,D-Glucose,Ecoli,1,28,0,0
PC40.1AA,0,D-Glucose,Ecoli,2,28,0,0
PC40.1AA,0,D-Glucose,Enterobacter,1,28,0,0
PC40.1AA,0,D-Glucose,Enterobacter,2,28,0,0
PC40.2AA,0,D-Glucose,Ecoli,1,28,0,0
PC40.2AA,0,D-Glucose,Ecoli,2,28,0,0
PC40.2AA,0,D-Glucose,Enterobacter,1,28,0,0
PC40.2AA,0,D-Glucose,Enterobacter,2,28,0,0
PC40.6AA,0,D-Glucose,Ecoli,1,28,0,0
PC40.6AA,0,D-Glucose,Ecoli,2,28,0,0
PC40.6AA,0,D-Glucose,Enterobacter,1,28,0,0
PC40.6AA,0,D-Glucose,Enterobacter,2,28,0,0
PC40.6AE,0,D-Glucose,Ecoli,1,28,0,0
PC40.6AE,0,D-Glucose,Ecoli,2,28,0,0
PC40.6AE,0,D-Glucose,Enterobacter,1,28,0,0
PC40.6AE,0,D-Glucose,Enterobacter,2,28,0,0
Phenylalanine,0,D-Glucose,Ecoli,1,28,0,0
Phenylalanine,0,D-Glucose,Ecoli,2,28,0,0
Phenylalanine,0,D-Glucose,Enterobacter,1,28,0,0
Phenylalanine,0,D-Glucose,Enterobacter,2,28,0,0
Phenylethylamine,0,D-Glucose,Ecoli,1,28,0,0
Phenylethylamine,0,D-Glucose,Ecoli,2,28,0,0
Phenylethylamine,0,D-Glucose,Enterobacter,1,28,0,0
Phenylethylamine,0,D-Glucose,Enterobacter,2,28,0,0
Proline,0,D-Glucose,Ecoli,1,28,0,0
Proline,0,D-Glucose,Ecoli,2,28,0,0
Proline,0,D-Glucose,Enterobacter,1,28,0,0
Proline,0,D-Glucose,Enterobacter,2,28,0,0
Propionic.acid,0,D-Glucose,Ecoli,1,28,25.1,25.1
Propionic.acid,0,D-Glucose,Ecoli,2,28,18.5,18.5
Propionic.acid,0,D-Glucose,Enterobacter,1,28,5.08,5.08
Propionic.acid,0,D-Glucose,Enterobacter,2,28,4.68,4.68
Putrescine,0,D-Glucose,Ecoli,1,28,2.86,2.86
Putrescine,0,D-Glucose,Ecoli,2,28,2.97,2.97
Putrescine,0,D-Glucose,Enterobacter,1,28,0,0
